club_code,club_name,season,division,league_position,puntos,partidos_jugados,goles_favor,goles_contra,valor_plantel,mean_plantel,nationality
27062,KF Erzeni,2023,Primera categoría,9.0,32.0,36.0,29.0,57.0,3930000.0,98000.0,Albania
15,Bayer 04 Leverkusen,2020,Primera categoría,6.0,52.0,34.0,53.0,39.0,373250000.0,11310000.0,Alemania
24,Eintracht Fráncfort​​,2020,Primera categoría,5.0,60.0,34.0,69.0,53.0,269150000.0,7480000.0,Alemania
33,FC Schalke 04,2023,Segunda categoría,10.0,43.0,34.0,53.0,60.0,37700000.0,967000.0,Alemania
44,Hertha Berlín,2021,Primera categoría,16.0,33.0,34.0,37.0,71.0,155780000.0,3460000.0,Alemania
44,Hertha Berlín,2022,Primera categoría,18.0,29.0,34.0,42.0,69.0,94000000.0,2290000.0,Alemania
86,SV Werder Bremen,2022,Primera categoría,13.0,36.0,34.0,51.0,64.0,89500000.0,2710000.0,Alemania
18544,Al-Nassr FC,2022,Primera categoría,2.0,67.0,30.0,63.0,18.0,78340000.0,2120000.0,Arabia Saudita
26069,Al-Qadsiah FC,2023,Segunda categoría,1.0,73.0,34.0,64.0,29.0,16250000.0,464000.0,Arabia Saudita
28597,Al-Batin FC,2021,Primera categoría,13.0,33.0,30.0,31.0,41.0,9300000.0,211000.0,Arabia Saudita
28597,Al-Batin FC,2022,Primera categoría,16.0,20.0,30.0,27.0,63.0,7780000.0,190000.0,Arabia Saudita
28597,Al-Batin FC,2023,Segunda categoría,7.0,51.0,34.0,46.0,41.0,4630000.0,136000.0,Arabia Saudita
32328,Al-Najma SC,2022,,,,,,,25000.0,2000.0,Arabia Saudita
9840,Al-Shabab FC,2022,Primera categoría,4.0,56.0,30.0,57.0,33.0,42200000.0,1240000.0,Arabia Saudita
10233,AMSD Atlético de Rafaela,2020,,,,,,,8300000.000000001,180000.0,Argentina
10233,AMSD Atlético de Rafaela,2021,Segunda categoría,17.0,0.0,0.0,0.0,0.0,6030000.0,131000.0,Argentina
