id_transfermarkt,nombre_transfermarkt,posicion_transfermarkt,id_fbref,mejor_nombre_fbref,mejor_score
125186,jonathan gallardo,Defensa,dc827680,martin galmarini,55
125569,maxi rodriguez,Medio,936dd5b4,roman martinez,43
663076,lionel laborda,Medio,47efffc6,ivan bolano,48
422400,ezequiel montagna,Delantero,57f7bac9,ijiel protti,41
252785,jordan mosquera,Delantero,1e278026,jonathan ramis,48
260652,milton celiz,Delantero,741075ea,facundo melivillo,48
842911,patricio ostachuk,Defensa,82549f54,fabricio bustos,56
842912,federico rotela,Defensa,b1805c80,alexander barboza,50
854205,fernando chavez,Medio,6c2f5996,pablo hernandez,53
232142,jonathan menendez,Delantero,c921e659,brian martinez,45
830785,mauricio del castillo,Delantero,16349210,alan velasco,48
278956,facundo daffonchio,Portero,e488072d,jeronimo pourtau,41
667375,juan antonini,Defensa,5d59f2af,juan guasone,64
55875,lucas landa,Defensa,061f1eed,bryan cabezas,50
238153,wilfredo olivera,Defensa,bc78521f,elias lopez,44
89306,yamil garnier,Defensa,9438188a,yair ezequiel arismendi,50
570554,juan caviglia,Medio,af9d0aea,juan andrada,56
369708,maximiliano fornari,Medio,03c611a8,patricio ferreira,50
196038,francisco molina,Medio,e3c45b18,manuel monaco,48
343504,guido vadala,Delantero,f99cfccb,valentin burgoa,44
19959,ariel colzera,Delantero,e0abe95e,gabriel hauche,59
76828,diego chaves,Delantero,0f12c6ac,diego azcurra,64
510132,fernando nunez,Delantero,bc55bb5a,lisandro lopez,50
504258,rodrigo schlegel,Defensa,aeb53bd6,leonardo sigali,45
830782,fabian sanchez,Defensa,6027a024,mauricio martinez,39
840963,mauro luque,Defensa,6027a024,mauricio martinez,50
728256,luca andrada,Medio,4abac767,carlos alcaraz,46
840965,lucas nunez,Medio,392bd428,nicolas reniero,46
480774,matias zaracho,Medio,f2416544,matias rojas,69
836422,alan ortiz,Medio,698923cf,julian lopez,55
837973,nahuel gomez,Medio,955b2e8a,marcelo diaz,42
37433,ignacio piatti,Delantero,06a4bf18,dario cvitanich,41
931490,gaston viera,Delantero,62eef061,david barbona,48
362667,mateo cassierra,Delantero,4abac767,carlos alcaraz,48
818088,leandro godoy,Delantero,39e9c09a,walter montoya,52
424046,franco pizzicanella,Portero,4e49d4fd,cristian lucchetti,32
836261,kevin nickler,Medio,45cfa4ba,leonardo heredia,41
75407,jose luis fernandez,Medio,472ff3a8,franco mussis,56
88166,nicolas aguirre,Medio,44c271db,ramiro carrera,48
837975,matias solohaga,Delantero,b88beb53,matias alustiza,60
526433,german salort,Portero,96abc4be,joaquin papaleo,43
667653,lautaro petruchi,Portero,e40f365c,marcos peano,43
717685,emanuel sittaro,Portero,e81f3d39,emanuel bilbao,76
133915,alexis niz,Defensa,ffaebee2,lucas rodriguez,40
457539,gaston yabale,Defensa,0f978661,gonzalo requena,43
717686,jose villegas,Defensa,f88ec6d6,giuliano cerato,36
39408,facundo erpen,Defensa,b4c8e4c5,fernando alarcon,55
441269,emiliano endrizzi,Defensa,f88ec6d6,giuliano cerato,44
153690,franco canever,Defensa,a8150001,franco diaz,71
132347,leonardo ferreyra,Defensa,0cc742f4,lautaro carrera,62
105894,franco flores,Defensa,a8150001,franco diaz,71
697042,misael gutierrez,Defensa,ac2206e1,miguel brizuela,45
441266,ignacio antonio,Medio,0373879c,gaston lodico,57
437774,javier liendo,Medio,6a00c4b0,silvio romero,46
723628,cristian carrizo,Medio,189d9c64,nicolas barrientos,47
113023,facundo silva,Medio,0b419c37,jonas acevedo,46
698918,maximiliano lopez,Delantero,c6f21917,matias klimowicz,48
58383,gonzalo castillejos,Delantero,0b419c37,jonas acevedo,44
5947,daniele de rossi,Medio,614b26e3,emanuel reynoso,52
830479,gaston gerzel,Delantero,265743a1,pablo gerzel,72
520847,joaquin mendive,Portero,949bc248,antony silva,37
30757,renato civelli,Defensa,9d2cc066,ezequiel navarro,47
503368,fernando cosciuc,Defensa,fb472db0,leandro grimi,48
830477,lucas valente,Defensa,8302dba4,lucas merolla,56
627236,agustin casco,Medio,3f332fc1,adrian calello,52
848786,matias forlano,Medio,02a496ff,mariano bareiro,48
371840,nicolas cordero,Medio,02a496ff,mariano bareiro,47
740024,braian maidana,Delantero,016a7f95,martin ojeda,46
283394,diego mendoza,Delantero,ea5d0211,fernando coniglio,53
745881,pablo oro,Delantero,78f10ec0,nicolas cordero,42
361719,lucio chiappero,Portero,036f15cf,ezequiel unsain,33
748212,matias barrios,Defensa,1b2f1090,adonis frias,54
832088,pedro ramirez,Defensa,c7f7afc5,guido mainero,46
844801,walter chavez,Defensa,03d0ea9a,hector david martinez,41
844802,kevin lencina,Medio,dd7e0773,valentin larralde,47
740671,tomas escalante,Medio,6b6c72ac,marcelo benitez,47
851805,ulises sandoval,Medio,326d97cd,jose gonzalez,43
514928,jonathan farias,Medio,b2fabf7e,nahuel barrios,55
639384,tomas ortiz,Medio,94ec1c0a,raul loaiza,45
814968,maximiliano luayza,Medio,6e434dbc,matias laba,55
604616,ignacio aliseda,Delantero,0e9284fe,mauricio duarte,47
819997,nicolas gonzalez,Delantero,a548428a,nicolas leguizamon,65
569142,carlos franco,Portero,3723f64a,ignacio chicco,44
697066,agustin rufinetti,Portero,93649708,juan espinola,40
112091,rodrigo erramuspe,Defensa,fa2c1419,mariano troilo,45
320756,alejandro cabral,Defensa,02dfa252,alejandro rebola,75
669587,gino barbieri,Defensa,6bdb7078,juan barinaga,46
55397,juan quiroga,Defensa,6bdb7078,juan barinaga,64
495111,juan salas,Defensa,6bdb7078,juan barinaga,61
89259,sebastian luna,Defensa,c3f9ebff,anibal leguizamon,45
55860,hernan bernardello,Medio,5e045116,geronimo heredia,53
77131,martin rivero,Medio,e11f5921,matias marin,56
30929,gabriel penalba,Medio,09773645,ariel rojas,54
193945,gaston gonzalez,Medio,d454a739,francisco gonzalez,73
74688,ricardo noir,Medio,9a102b86,santiago longo,46
534617,fabricio brener,Delantero,31d73bbd,nicolas fernandez,44
724220,ulises sanchez,Delantero,31d73bbd,nicolas fernandez,45
724219,martin garnerone,Delantero,e11f5921,matias marin,57
727821,ivo costantino,Delantero,768f11ca,maximo oses,40
55184,elias gomez,Portero,3372ab71,marcelo mino,35
697403,mariano monllor,Portero,3372ab71,marcelo mino,59
565005,enzo ortiz,Defensa,094c0621,rodrigo insua,43
124947,fernando gonzalez,Defensa,687e908f,gonzalo goni,55
94054,ezequiel filippetto,Defensa,7a1a4096,nicolas tolosa,30
357337,gaston bojanich,Defensa,687e908f,gonzalo goni,52
78493,nicolas minici,Defensa,328cb061,nicolas demartini,77
697404,matias tapia,Defensa,e1dac904,maximiliano puig,50
20681,clemente rodriguez,Defensa,094c0621,rodrigo insua,52
354077,federico mazur,Defensa,d04ee029,facundo mater,52
125190,facundo oreja,Defensa,d04ee029,facundo mater,70
457543,matias acuna,Defensa,d04ee029,facundo mater,64
542137,francisco sole,Medio,23f646f1,siro rosane,48
742652,isaac suarez,Medio,6b002771,alex juarez,61
125063,ramiro lopez,Medio,23f646f1,siro rosane,52
87356,jorge velazquez,Medio,162012b6,javier ruiz,38
728522,luciano romero,Medio,a2232656,alan cantero,54
423933,sebastian riquelme,Medio,03b736c5,santiago coronel,53
536151,rodrigo pacheco,Delantero,a3b898ff,federico aguirre,45
80241,mauro matos,Delantero,93cfb989,marco iacobellis,59
54857,franco niell,Delantero,02e13312,facundo kruger,46
94342,carlos salom,Delantero,03b736c5,santiago coronel,50
99338,nicolas trecco,Delantero,93cfb989,marco iacobellis,60
278980,leonel buter,Delantero,8d7881e1,facundo bruera,46
87409,guillermo sara,Portero,ef223e5f,agustin rossi,44
503005,gabriel carrasco,Defensa,eb6e8325,pablo aranda,50
844796,gonzalo casazza,Medio,0373879c,gaston lodico,43
606268,pablo martinez,Delantero,24e73dc1,juan pablo krilanovich,56
838406,gonzalo torres,Delantero,ee3af1c7,cristian torres,60
838390,joaquin gomez,Portero,e4bcd56b,sebastian moyano,34
343359,yeimar gomez andrade,Defensa,70e92629,francisco gerometta,41
610261,raul zules caicedo,Defensa,881fe7e6,jorge zules,62
579974,franco godoy,Defensa,838dea0a,franco calderon,67
285772,javier mendez,Medio,3c90a04a,oscar mendez,72
209708,sebastian assis,Medio,b97a9973,alberto assis,57
840966,brian sobrero,Medio,2f9ae3a1,juan portillo,46
545618,braian alvarez,Delantero,1ebd3fa2,javier cabrera,43
323834,alfredo pussetto,Delantero,3fe63f42,fernando andres marquez,41
90419,alfredo ramirez,Medio,2aebc81b,fernando juarez,60
134417,marcelo vega,Medio,24a99c0e,carlos villalba,52
240056,leonardo baima,Medio,8bf58693,braian rivero,59
118272,gonzalo bazan,Medio,278f93a4,ronaldo martinez,55
382245,elias borrego,Medio,88ad94f7,luis angulo,50
620159,gianluca pugliese,Delantero,88ad94f7,luis angulo,50
706850,ian puleio,Delantero,8c9e96c5,mateo pellegrino,54
89322,javier rossi,Delantero,3d395749,tobias cervera,46
711336,tomas lujan,Delantero,df0058c1,lucas ocampo,52
67495,daniel vega,Delantero,dde3e2aa,franco minerva,48
823866,hernan cardozo,Portero,6ed98536,carlos lampe,46
844952,anderson rey,Defensa,e4232b08,sergio adrian,48
745887,marc enoumba,Defensa,35133d99,marcos barrera,54
499625,eduardo puna,Defensa,faf55997,juan orellana,40
1169017,jharick machicao,Medio,2690ac9a,marcelo gallardo,44
745891,juan adrian,Medio,9d51fbed,cristian arabe,48
745886,kevin romay,Medio,8aa9aafe,josue mamani,35
874072,uellington martins,Medio,fb51a554,milton garzon,52
656722,jorge rojas,Delantero,811dd560,junior romay,61
143020,jair torrico,Delantero,4e42d741,duvier riascos,54
1153629,carlos suarez,Delantero,a115eaaa,anderson rey,48
874054,marcelo estrada,Delantero,39f9949f,marc enoumba,52
573703,jimmy isita,Delantero,fd7426da,francisco isita,62
355856,luis martelli,Defensa,bc046c6d,luis demiquel,62
126783,maximiliano ortiz,Medio,f205555c,moises calero,40
143021,walter veizaga,Medio,b08e6648,walter veizaga,100
212954,willie,Medio,f205555c,moises calero,32
353077,carlos anez,Delantero,1432c274,jair reinoso,43
481211,henry vaca,Delantero,f14768e7,harold reina,36
585474,moises calero,Delantero,1432c274,jair reinoso,40
598100,rodrigo banegas,Portero,0b3f06cc,luis banegas,74
850653,jesus estrada saavedra,Defensa,53599e0e,daniel franco,34
347185,sueliton,Defensa,e09d4461,widen saucedo,48
598934,wilfredo soleto,Defensa,e09d4461,widen saucedo,50
453084,mario cuellar,Defensa,8888873c,marcelo suarez,44
742669,brayan calderon,Defensa,53599e0e,daniel franco,36
843275,rodrigo saucedo,Defensa,e09d4461,widen saucedo,70
873642,daniel zapata,Defensa,53599e0e,daniel franco,63
742668,santos navarro,Defensa,8888873c,marcelo suarez,43
388691,alan mercado,Medio,4bf6c47a,brayan calderon,59
563403,hector sanchez,Medio,db91442c,matheo zoch,48
420753,juan ribera,Medio,a6cc0e65,alexis ribera,71
214751,juan diego gutierrez,Delantero,1a757168,juan viveros,50
745875,carlos soliz,Delantero,e20ffa69,juan carlos montenegro,67
454658,matheo zoch,Delantero,000b90df,hector sanchez,48
336573,walter rioja,Defensa,9679a061,ervin montero,48
823542,leonardo urapuca,Defensa,918a8132,katuary urapuca,65
874030,fabian mendieta,Defensa,9679a061,ervin montero,43
844105,jose pinto,Defensa,88c53e1e,jose maria carrasco,57
389865,erwin sanchez,Medio,8ed091e6,richard spenhay,43
197856,fernando arismendi,Delantero,7feef1ec,juan daniel ferrufino,51
742608,jose veizaga,Delantero,0264f17b,rafael barros,40
742604,clody menacho,Delantero,780803d8,cesar menacho,70
584630,fernando castro,Portero,b7f90e05,matheus teixeira,39
632653,joao pedro ribeiro,Defensa,31d1ed52,joao pedro,100
714481,jaques,Defensa,f612025c,wanderson,40
740046,paulinho,Defensa,72c01cfb,juninho,67
371252,helio junior,Defensa,72c01cfb,juninho,53
680381,luciano buiu,Medio,832ab167,danielzinho,43
722456,caio mello,Medio,94cc9e88,marco antonio,52
796588,jeferson douglas,Medio,85c1009d,clayson,43
863457,luiz felipe,Medio,0df8c3bc,elber,38
323849,cristiano,Medio,6adb0b79,thiago,53
680379,gustavo custodio,Delantero,94cc9e88,marco antonio,48
987055,joao pedro,Delantero,05748af4,jadson,50
432970,gabriel esteves,Delantero,297a324a,gabriel novaes,76
796587,edilson,Delantero,05748af4,jadson,62
669535,caique,Delantero,85c1009d,clayson,31
72540,alejandro guerra,Medio,1f4aaad9,pedro acacio,43
743826,luiz guilherme,Medio,01819e70,gabriel menino,43
